문제제목,입출력 예,자바파일
두 수의 곱 구하기,"num1 | num2 | result
--- | --- | ---
3 | 4 | 12
27 | 19 | 513","class Solution {
    public int solution(int num1, int num2) {
        int answer = 0;
        return answer;
    }
}"
두 수의 나눗셈,"num1 | num2 | result
--- | --- | ---
3 | 2 | 1500
7 | 3 | 2333
1 | 16 | 62","class Solution {
    public int solution(int num1, int num2) {
        int answer = 0;
        return answer;
    }
}"
숫자 비교하기,"num1 | num2 | result
--- | --- | ---
2 | 3 | -1
11 | 11 | 1
7 | 99 | -1","class Solution {
    public int solution(int num1, int num2) {
        int answer = 0;
        return answer;
    }
}"
나머지 구하기,"num1 | num2 | result
--- | --- | ---
3 | 2 | 1
10 | 5 | 0","class Solution {
    public int solution(int num1, int num2) {
        int answer = -1;
        return answer;
    }
}"
나이 출력,"age | result
--- | ---
40 | 1983
23 | 2000","class Solution {
    public int solution(int age) {
        int answer = 0;
        return answer;
    }
}"
두 수의 차 구하기,"num1 | num2 | result
--- | --- | ---
2 | 3 | -1
100 | 2 | 98","class Solution {
    public int solution(int num1, int num2) {
        int answer = 0;
        return answer;
    }
}"
몫 구하기,"num1 | num2 | result
--- | --- | ---
10 | 5 | 2
7 | 2 | 3","class Solution {
    public int solution(int num1, int num2) {
        int answer = 0;
        return answer;
    }
}"
머쓱이보다 키 큰 사람,"array | height | result
--- | --- | ---
[149, 180, 192, 170] | 167 | 3
[180, 120, 140] | 190 | 0","class Solution {
    public int solution(int[] array, int height) {
        int answer = 0;
        return answer;
    }
}"
두 수의 합 구하기,"num1 | num2 | result
--- | --- | ---
2 | 3 | 5
100 | 2 | 102","class Solution {
    public int solution(int num1, int num2) {
        int answer = -1;
        return answer;
    }
}"
배열 두 배 만들기,"numbers | result
--- | ---
[1, 2, 3, 4, 5] | [2, 4, 6, 8, 10]
[1, 2, 100, -99, 1, 2, 3] | [2, 4, 200, -198, 2, 4, 6]","class Solution {
    public int[] solution(int[] numbers) {
        int[] answer = {};
        return answer;
    }
}"
피자 나눠 먹기 (1),"n | result
--- | ---
7 | 1
1 | 1
15 | 3","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
피자 나눠 먹기 (3),"slice | n | result
--- | --- | ---
7 | 10 | 2
4 | 12 | 3","class Solution {
    public int solution(int slice, int n) {
        int answer = 0;
        return answer;
    }
}"
배열의 평균값,"numbers | result
--- | ---
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | 5.5
[89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99] | 94.0","class Solution {
    public double solution(int[] numbers) {
        double answer = 0;
        return answer;
    }
}"
아이스 아메리카노,"money | result
--- | ---
5,500 | [1, 0]
15,000 | [2, 4000]","class Solution {
    public int[] solution(int money) {
        int[] answer = {};
        return answer;
    }
}"
배열 뒤집기,"num_list | result
--- | ---
[1, 2, 3, 4, 5] | [5, 4, 3, 2, 1]
[1, 1, 1, 1, 1, 2] | [2, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 3, 5] | [5, 3, 1, 1, 1, 0, 1]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
뒤집힌 문자열,"my_string | return
--- | ---
""jaron"" | ""noraj""
""bread"" | ""daerb""","class Solution {
    public String solution(String my_string) {
        String answer = """";
        return answer;
    }
}"
짝수 홀수 개수,"num_list | result
--- | ---
[1, 2, 3, 4, 5] | [2, 3]
[1, 3, 5, 7] | [0, 4]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
문자 반복 출력하기,"my_string | n | result
--- | --- | ---
""hello"" | 3 | ""hhheeellllllooo""","class Solution {
    public String solution(String my_string, int n) {
        String answer = """";
        return answer;
    }
}"
특정 문자 제거하기,"my_string | letter | result
--- | --- | ---
""abcdef"" | ""f"" | ""abcde""
""BCBdbe"" | ""B"" | ""Cdbe""","class Solution {
    public String solution(String my_string, String letter) {
        String answer = """";
        return answer;
    }
}"
각도기,"angle | result
--- | ---
70 | 1
91 | 3
180 | 4","class Solution {
    public int solution(int angle) {
        int answer = 0;
        return answer;
    }
}"
양꼬치,"n | k | result
--- | --- | ---
10 | 3 | 124,000
64 | 6 | 768,000","class Solution {
    public int solution(int n, int k) {
        int answer = 0;
        return answer;
    }
}"
짝수의 합,"n | result
--- | ---
10 | 30
4 | 6","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
배열 자르기,"numbers | num1 | num2 | result
--- | --- | --- | ---
[1, 2, 3, 4, 5] | 1 | 3 | [2, 3, 4]
[1, 3, 5] | 1 | 2 | [3, 5]","class Solution {
    public int[] solution(int[] numbers, int num1, int num2) {
        int[] answer = {};
        return answer;
    }
}"
순서쌍의 개수,"n | result
--- | ---
20 | 6
100 | 9","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
점의 위치 구하기,"dot | result
--- | ---
[2, 4] | 1
[-7, 9] | 2","class Solution {
    public int solution(int[] dot) {
        int answer = 0;
        return answer;
    }
}"
최댓값 만들기(1),"numbers | result
--- | ---
[1, 2, 3, 4, 5] | 20
[0, 31, 24, 10, 1, 9] | 744","class Solution {
    public int solution(int[] numbers) {
        int answer = 0;
        return answer;
    }
}"
모음 제거,"my_string | result
--- | ---
""bus"" | ""bs""
""nice to meet you"" | ""nc t mt y""","class Solution {
    public String solution(String my_string) {
        String answer = """";
        return answer;
    }
}"
숨어있는 숫자의 덧셈 (1),"my_string | result
--- | ---
""aAb1B2cC34oOp"" | 10
""1a2b3c4d123"" | 16","class Solution {
    public int solution(String my_string) {
        int answer = 0;
        return answer;
    }
}"
배열 원소의 길이,"strlist | result
--- | ---
[""We"", ""are"", ""the"", ""world!""] | [2, 3, 3, 6]
[""I"", ""Love"", ""Programmers.""] | [1, 4, 12]","class Solution {
    public int[] solution(String[] strlist) {
        int[] answer = {};
        return answer;
    }
}"
삼각형의 완성조건 (1),"sides | result
--- | ---
[1, 2, 3] | 2
[3, 6, 2] | 2
[199, 72, 222] | 1","class Solution {
    public int solution(int[] sides) {
        int answer = 0;
        return answer;
    }
}"
대문자와 소문자,"my_string | result
--- | ---
""cccCCC"" | ""CCCccc""
""abCdEfghIJ"" | ""ABcDeFGHij""","class Solution {
    public String solution(String my_string) {
        String answer = """";
        return answer;
    }
}"
편지,"message | result
--- | ---
""happy birthday!"" | 30
""I love you~"" | 22","class Solution {
    public int solution(String message) {
        int answer = 0;
        return answer;
    }
}"
가장 큰 수 찾기,"array | result
--- | ---
[1, 8, 3] | [8, 1]
[9, 10, 11, 8] | [11, 2]","class Solution {
    public int[] solution(int[] array) {
        int[] answer = {};
        return answer;
    }
}"
배열의 유사도,"s1 | s2 | result
--- | --- | ---
[""a"", ""b"", ""c""] | [""com"", ""b"", ""d"", ""p"", ""c""] | 2
[""n"", ""omg""] | [""m"", ""dot""] | 0","class Solution {
    public int solution(String[] s1, String[] s2) {
        int answer = 0;
        return answer;
    }
}"
n의 배수 고르기,"n | numlist | result
--- | --- | ---
3 | [4, 5, 6, 7, 8, 9, 10, 11, 12] | [6, 9, 12]
5 | [1, 9, 3, 10, 13, 5] | [10, 5]
12 | [2, 100, 120, 600, 12, 12] | [120, 600, 12, 12]","class Solution {
    public int[] solution(int n, int[] numlist) {
        int[] answer = {};
        return answer;
    }
}"
자릿수 더하기,"n | result
--- | ---
1234 | 10
930211 | 16","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
