문제제목,입출력 예,자바파일
문자열 나누기,"s | result
--- | ---
""banana"" | 3
""abracadabra"" | 6
""aaabbaccccabba"" | 3","class Solution {
    public int solution(String s) {
        int answer = 0;
        return answer;
    }
}"
둘만의 암호,"s | skip | index | result
--- | --- | --- | ---
""aukks"" | ""wbqd"" | 5 | ""happy""","class Solution {
    public String solution(String s, String skip, int index) {
        String answer = """";
        return answer;
    }
}"
대충 만든 자판,"keymap | targets | result
--- | --- | ---
[""ABACD"", ""BCEFD""] | [""ABCD"",""AABB""] | [9, 4]
[""AA""] | [""B""] | [-1]
[""AGZ"", ""BSSS""] | [""ASA"",""BGZ""] | [4, 6]","class Solution {
    public int[] solution(String[] keymap, String[] targets) {
        int[] answer = {};
        return answer;
    }
}"
[PCCE 기출문제] 9번 / 이웃한 칸,"board | h | w | result
--- | --- | --- | ---
[[""blue"", ""red"", ""orange"", ""red""], [""red"", ""red"", ""blue"", ""orange""], [""blue"", ""orange"", ""red"", ""red""], [""orange"", ""orange"", ""red"", ""blue""]] | 1 | 1 | 2
[[""yellow"", ""green"", ""blue""], [""blue"", ""green"", ""yellow""], [""yellow"", ""blue"", ""blue""]] | 0 | 1 | 1","class Solution {
    public int solution(String[][] board, int h, int w) {
        int answer = 0;
        return answer;
    }
}"
숫자 게임,"A | B | result
--- | --- | ---
[5,1,3,7] | [2,2,6,8] | 3
[2,2,2,2] | [1,1,1,1] | 0","class Solution {
    public int solution(int[] A, int[] B) {
        int answer = -1;
        return answer;
    }
}"
[1차] 다트 게임,"예제 | dartResult | answer | 설명
--- | --- | --- | ---
1 | 1S2D*3T | 37 | 11* 2 + 22* 2 + 33
2 | 1D2S#10S | 9 | 12+ 21* (-1) + 101
3 | 1D2S0T | 3 | 12+ 21+ 03
4 | 1S*2T*3S | 23 | 11* 2 * 2 + 23* 2 + 31
5 | 1D#2S*3S | 5 | 12* (-1) * 2 + 21* 2 + 31
6 | 1T2D3D# | -4 | 13+ 22+ 32* (-1)
7 | 1D2S3T* | 59 | 12+ 21* 2 + 33* 2","class Solution {
    public int solution(String dartResult) {
        int answer = 0;
        return answer;
    }
}"
완주하지 못한 선수,"participant | completion | return
--- | --- | ---
[""leo"", ""kiki"", ""eden""] | [""eden"", ""kiki""] | ""leo""
[""marina"", ""josipa"", ""nikola"", ""vinko"", ""filipa""] | [""josipa"", ""filipa"", ""marina"", ""nikola""] | ""vinko""
[""mislav"", ""stanko"", ""mislav"", ""ana""] | [""stanko"", ""ana"", ""mislav""] | ""mislav""","class Solution {
    public String solution(String[] participant, String[] completion) {
        String answer = """";
        return answer;
    }
}"
로또의 최고 순위와 최저 순위,"순위 | 당첨 내용
--- | ---
1 | 6개 번호가 모두 일치
2 | 5개 번호가 일치
3 | 4개 번호가 일치
4 | 3개 번호가 일치
5 | 2개 번호가 일치
6(낙첨) | 그 외

당첨 번호 | 31 | 10 | 45 | 1 | 6 | 19 | 결과
--- | --- | --- | --- | --- | --- | --- | ---
최고 순위 번호 | 31 | 0→10 | 44 | 1 | 0→6 | 25 | 4개 번호 일치, 3등
최저 순위 번호 | 31 | 0→11 | 44 | 1 | 0→7 | 25 | 2개 번호 일치, 5등

lottos | win_nums | result
--- | --- | ---
[44, 1, 0, 0, 31, 25] | [31, 10, 45, 1, 6, 19] | [3, 5]
[0, 0, 0, 0, 0, 0] | [38, 19, 20, 40, 15, 25] | [1, 6]
[45, 4, 35, 20, 3, 9] | [20, 9, 3, 45, 4, 35] | [1, 1]

당첨 번호 | 38 | 19 | 20 | 40 | 15 | 25 | 결과
--- | --- | --- | --- | --- | --- | --- | ---
최고 순위 번호 | 0→38 | 0→19 | 0→20 | 0→40 | 0→15 | 0→25 | 6개 번호 일치, 1등
최저 순위 번호 | 0→21 | 0→22 | 0→23 | 0→24 | 0→26 | 0→27 | 0개 번호 일치, 6등","class Solution {
    public int[] solution(int[] lottos, int[] win_nums) {
        int[] answer = {};
        return answer;
    }
}"
2 x n 타일링,"n | result
--- | ---
4 | 5","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
[3차] 파일명 정렬,"파일명 | HEAD | NUMBER | TAIL
--- | --- | --- | ---
foo9.txt | foo | 9 | .txt
foo010bar020.zip | foo | 010 | bar020.zip
F-15 | F- | 15 | (빈 문자열)","class Solution {
    public String[] solution(String[] files) {
        String[] answer = {};
        return answer;
    }
}"
